wine_index,pH,residual_sugar,sulphates,density,chlorides,alcohol,quality
283,3.36,3,0.57,0.9971,0.067,9.1,5
284,3.38,5.6,0.77,0.9991,0.087,10.5,7
285,3.31,3.4,0.71,1.00015,0.102,9.8,5
286,3.31,3.4,0.71,1.00015,0.102,9.8,5
287,3.1,2,0.76,0.9997,0.073,10.3,6
288,3.37,3,0.7,0.9967,0.092,10.3,6
289,3.34,2.5,0.86,0.9976,0.091,10.6,7
290,3.2,3.3,0.95,1.001,0.105,9.2,5
291,3.34,2.5,0.86,0.9976,0.091,10.6,7
292,3.3,2,0.71,0.9979,0.343,10.5,5
293,3.22,2.7,0.64,0.9994,0.091,10.3,6
294,3.41,2.4,0.6,0.9964,0.098,10.1,6
295,3.05,3.2,0.81,1.0014,0.094,9.5,6
296,3.05,2.5,0.64,1.0001,0.073,9.5,5
297,3.16,2.6,0.52,0.9981,0.086,9.9,5
298,3.67,2,0.73,0.99855,0.083,9.6,5
299,3.67,2.3,0.8,0.9993,0.094,9.7,5
300,3.68,2.1,0.71,0.99845,0.08,9.6,5
301,3.38,2.6,0.59,0.9965,0.086,10.7,6
302,3.22,1.5,0.64,0.9973,0.068,10.1,6
303,3.51,2.6,0.72,0.9994,0.092,10,5
304,3.39,1.6,0.54,0.996,0.186,9.5,5
305,3.2,2.1,0.52,0.9973,0.112,9.2,5
306,3.12,2.5,0.59,0.9998,0.063,9.3,6
307,3.36,2.2,0.52,0.9966,0.082,9.4,5
308,3.19,2.4,0.62,0.9994,0.213,9.5,6
309,3.19,2.4,0.63,0.9994,0.214,9.5,6
310,3.41,1.7,0.53,0.9968,0.062,9.5,6
311,3.12,2.5,0.59,0.9998,0.063,9.3,6
312,3.27,2,0.54,0.996,0.072,9.4,6
313,3.32,2.8,0.63,0.99815,0.093,9.5,6
314,3.3,3,0.53,0.9976,0.076,9.4,5
315,3.39,2.6,0.68,0.99645,0.087,11,5
316,3.42,2.5,0.65,0.9962,0.096,11,6
317,3.3,3.4,0.65,0.9996,0.102,10.1,5
318,3.3,2.9,0.64,0.99865,0.082,10.4,6
319,3.37,3.2,0.71,0.9989,0.083,11.5,7
320,3.3,2.9,0.64,0.99865,0.082,10.4,6
321,3.37,3.2,0.71,0.9989,0.083,11.5,7
322,3.24,3.4,0.62,0.99975,0.09,9.7,5
323,3.29,2.3,0.63,0.99735,0.079,9.3,5
324,3.28,2.8,0.7,0.999,0.09,9.5,6
325,3.16,11,0.69,1.0015,0.071,9.2,6
326,3.16,11,0.69,1.0015,0.071,9.2,6
327,3.05,3.65,0.74,0.9978,0.121,11.5,7
328,3.28,4.5,0.83,0.998,0.107,11.5,5
329,3.16,2.6,0.67,1.0002,0.082,9.7,6
330,3.18,2,0.62,0.9981,0.061,9.5,5
331,3.23,2.9,0.66,0.998,0.122,12.5,6
332,3.23,2.9,0.66,0.998,0.122,12.5,6
333,3.22,3.2,0.54,0.9973,0.066,9.4,6
334,3.13,2.1,0.52,0.9958,0.105,11,5
335,3.34,2.5,0.74,0.9963,0.078,11.7,7
336,3.17,3.4,0.84,0.9992,0.128,12.2,7
337,3.35,1.9,0.7,0.9948,0.052,12.5,6
338,3.31,2.8,0.64,0.9974,0.08,10.3,5
339,3.16,3,1,1.0008,0.103,11.5,6
340,3.11,2.3,1.36,0.9997,0.082,9.8,7
341,3.12,2.4,1.18,1,0.066,9.2,6
342,3.21,2.7,0.87,0.9972,0.065,11.3,6
343,3.3,1.8,0.75,0.9982,0.118,9.8,6
344,3.3,1.8,0.75,0.9982,0.118,9.8,6
345,3.12,2.6,0.78,1.0006,0.082,10.7,6
346,3.6,1.9,0.81,0.9979,0.067,9.9,5
347,3.58,2.7,0.89,0.9955,0.072,12.3,7
348,3.02,3,0.93,0.9986,0.093,12,6
349,3.11,2.8,0.92,0.9979,0.089,10,6
350,3.36,2.6,0.86,0.9994,0.093,9.4,6
351,3.28,2.7,0.98,1.0004,0.107,9.9,6
352,3.35,2.6,0.83,0.9994,0.096,9.4,6
353,3.27,2.4,0.73,0.9974,0.09,9.3,5
354,3.18,4.8,0.77,1.0018,0.12,13,5
355,3.25,1.4,0.59,0.9912,0.066,11.9,6
356,3.55,2.4,0.61,0.9955,0.078,12.8,6
357,3.26,3,0.88,1.0001,0.08,11,5
358,3.24,2.95,0.75,0.997,0.116,11.7,7
359,3.15,3.1,0.85,1,0.109,10.4,7
360,3.17,2.6,0.68,1.001,0.088,9.8,6
361,3.19,2,0.7,0.9973,0.099,9.4,5
362,3.37,2.6,0.91,0.9982,0.086,9.9,6
363,3.05,2.5,0.56,0.9992,0.072,10,5
364,2.99,2,0.87,0.9988,0.071,10.2,5
365,3.07,5.8,0.73,1.0022,0.083,10,7
366,3.26,3.4,0.93,0.9979,0.107,11.8,6
367,3.07,5.8,0.73,1.0022,0.083,10,7
368,3.16,2.6,0.69,1,0.076,9,5
369,3.18,2.8,0.64,0.9998,0.159,9.4,5
370,3.2,2.4,1.13,0.9962,0.074,12,7
371,3.57,2.3,0.78,0.9975,0.063,9.9,5
372,3.32,1.6,0.87,0.9967,0.056,8.7,6
373,3.32,1.8,1.04,0.9967,0.067,10.6,6
374,3.05,2.2,0.63,0.9959,0.106,9.2,5
375,3.01,3.8,0.81,1.0014,0.089,10.8,6
376,3.01,4.4,0.83,0.9984,0.124,11.8,7
377,3.26,3,1.11,1.0003,0.078,11,6
378,3.2,2.4,1.13,0.9962,0.074,12,7
379,3.11,6.2,0.99,0.9988,0.088,13.3,6
380,3.31,2.5,0.7,0.9979,0.094,10.8,6
381,3.21,2,0.8,0.9974,0.08,9.4,6
382,3.06,2.9,0.8,1.0014,0.085,10,6
383,3.21,2,0.8,0.9974,0.08,9.4,6
384,3.21,2,0.8,0.9974,0.08,9.4,6
385,3.42,2.1,0.74,0.998,0.087,9.2,5
386,3.43,2.4,0.76,0.9979,0.09,9.7,6
387,3.41,2,0.74,0.9981,0.088,9.2,6
388,3.31,1.9,0.54,0.9972,0.079,9.6,6
389,3.43,1.9,0.74,0.9981,0.088,9.2,6
390,3.19,2.5,0.7,0.9982,0.096,10,7
391,3.56,1.4,0.82,0.9924,0.045,12.9,8
392,3.06,2.9,0.8,1.0014,0.085,10,6
393,3.18,2,0.51,0.998,0.082,9.5,5
394,3.16,2,0.54,0.997,0.112,9.1,5
395,3.03,2.3,0.57,0.9997,0.063,9.9,5
396,3.22,4.2,0.6,1.0004,0.066,13,7
397,3.47,7.9,0.53,0.9994,0.122,9.9,5
398,3.18,2.6,0.65,0.9988,0.087,11,6
399,3.18,2.6,0.65,0.9988,0.087,11,6
400,3.1,2.3,0.55,0.9963,0.064,9.4,5
401,3.47,7.9,0.53,0.9994,0.122,9.9,5
402,3.29,1.7,0.47,0.9949,0.059,10.8,6
403,3.1,2.6,0.61,1,0.085,10.5,6
404,3.15,2.7,0.63,0.9994,0.085,10.5,6
405,3.26,2.7,0.61,0.9974,0.075,9.1,5
406,3.36,1.4,0.76,0.9966,0.059,10.1,6
407,3.24,2.5,0.65,0.9981,0.063,10.8,6
408,3.18,3,0.63,0.9996,0.093,10.8,7
409,3.19,3.7,0.7,0.997,0.174,11.3,6
410,3.05,4.5,0.57,0.9981,0.07,9.6,4
411,3.38,2.5,0.62,0.9987,0.08,9.5,6
412,3.38,2.4,0.62,0.9987,0.08,9.5,5
413,3.27,1.9,0.64,0.9966,0.1,9.3,5
414,3.27,6.7,0.82,0.9986,0.097,11.7,7
415,3.26,2.7,0.61,0.9982,0.087,9.5,5
416,3.32,6.6,1.07,1.0014,0.117,9.3,5
417,3.26,2.2,0.66,0.997,0.111,11.7,6
418,3.44,1.9,0.48,0.9956,0.091,10.5,5
419,3.24,2,0.76,0.9996,0.121,10.4,6
420,3.62,1.8,0.68,0.9976,0.066,9.9,5
421,3.28,2.4,0.73,0.9972,0.089,11.8,7
422,3.52,2.3,0.56,0.9952,0.059,12.3,7
423,3.36,2,0.44,0.9955,0.047,10.9,5
424,3.15,2.1,0.9,0.9978,0.066,11,7
425,3.36,2,0.44,0.9955,0.047,10.9,5
426,3.52,2.3,0.56,0.9952,0.059,12.3,7
427,3.49,2.1,0.49,0.9949,0.045,11.4,6
428,3.26,1.9,0.56,0.9988,0.077,10.6,6
429,3.24,1.3,0.6,0.9978,0.07,9.3,5
430,3.1,2.4,0.6,0.9997,0.088,10.4,6
431,3.15,2.1,0.9,0.9978,0.066,11,7
432,3.25,2.2,0.56,0.9974,0.074,9.2,5
433,3,2.3,0.65,0.9958,0.078,12.8,6
434,3.16,2.3,0.49,1.0004,0.091,9.5,5
435,3.15,3.2,0.89,0.9996,0.076,9.9,6
436,3.16,2.3,0.49,1.0004,0.091,9.5,5
437,3.26,2,0.56,0.9958,0.06,10.2,6
438,3.17,3.2,0.66,0.9986,0.066,11.2,6
439,3.15,3.2,0.89,0.9996,0.076,9.9,6
440,3.08,1.5,0.6,0.9951,0.062,9.3,5
441,2.88,2.2,0.82,0.9987,0.072,9.8,8
442,3.06,2.15,0.68,0.9988,0.068,11.3,6
443,2.95,3.7,0.68,1.0032,0.1,11.2,7
444,3.23,2.7,0.63,0.9963,0.077,11.6,7
445,3.57,1.7,0.84,0.9934,0.054,12.5,7
446,3.23,2.1,0.56,0.9986,0.079,10.1,6
447,3.1,2.6,0.73,0.9996,0.081,10.5,5
448,3.22,2.1,0.72,0.9968,0.127,11.2,5
449,3.2,2,0.56,0.9967,0.1,10.2,6
450,3.1,2.8,0.61,0.9994,0.095,10.8,6
451,3.1,2.8,0.61,0.9994,0.095,10.8,6
452,3.06,1.8,1.06,0.9979,0.413,9.1,6
453,3.44,1.7,0.63,0.9968,0.084,10,6
454,3.26,2.8,0.74,0.9998,0.084,11.2,7
455,3.5,1.6,0.63,0.9952,0.063,11.1,5
456,3.22,5.2,0.69,0.9988,0.086,13.4,8
457,3.37,2.3,0.58,0.9986,0.095,10.3,5
458,3.28,2.7,0.58,0.9988,0.097,9.6,5
459,3.26,2.8,0.74,0.9998,0.084,11.2,7
460,3.25,2.2,0.57,1.0008,0.074,9,3
461,3.35,2.3,0.61,0.9976,0.083,11.3,6
462,3.26,2.6,0.61,0.9982,0.087,9.3,5
463,3.18,2.55,0.61,0.997,0.085,11.8,5
464,3.08,2.2,0.53,0.9972,0.098,9,5
465,2.98,2.1,0.7,0.9987,0.084,9.2,6
466,3.48,2.9,0.91,1.0006,0.098,9.7,5
467,3.16,2,0.72,0.9982,0.069,11.5,6
468,3.32,2.6,0.79,0.9947,0.065,14,6
469,3.17,2.1,0.62,1,0.09,9.2,6
470,3.2,1.2,0.58,0.9952,0.07,9.8,5
471,3.05,2.6,0.61,0.9996,0.093,10.6,5
472,3.2,2.4,0.71,0.997,0.081,11.4,6
473,3.15,2.6,0.82,0.9995,0.083,10.4,6
474,3.26,2.1,0.79,0.9971,0.062,10.6,5
475,3.2,1.7,0.89,0.9982,0.08,9.4,6
476,3.14,2.2,0.6,0.9988,0.087,10.2,5
477,3.28,2,0.7,0.998,0.091,9.7,5
478,3.18,1.8,1.06,0.9977,0.075,11,6
479,3.14,2.2,0.6,0.9988,0.087,10.2,5
480,3.19,2.7,0.7,0.9984,0.077,10.1,6
481,3.12,15.5,0.66,1.0026,0.069,9.2,5
482,3.15,2.8,0.92,0.9964,0.08,11.7,8
483,3.04,2.2,1.05,0.9986,0.152,9.4,5
484,3.04,2.2,1.06,0.9986,0.152,9.4,5
485,3.06,4.1,0.66,0.997,0.114,13.4,6
486,3.17,1.9,0.47,0.9976,0.054,10,5
487,3.17,1.9,0.47,0.9976,0.054,10,5
488,3.17,1.8,0.42,0.9982,0.053,10,6
489,3.32,2.8,0.92,1.0002,0.081,10.8,7
490,3.34,2.6,0.75,0.9984,0.073,10.2,6
491,3.31,2.8,0.67,0.9984,0.078,10.6,6
